ward_id,severity,description,timestamp
W216,High,Water entering basement,2026-01-10T14:41:00
W074,High,Road completely blocked,2026-01-10T13:56:00
W081,High,Drain overflow,2026-01-10T14:59:00
W197,Medium,Traffic stuck due to logging,2026-01-10T14:31:00
W012,High,Sewer backflow in house,2026-01-10T15:23:00
W225,High,Open drain overflowing,2026-01-10T13:45:00
W017,Medium,Water logging on main road,2026-01-10T14:15:00
W243,Medium,Knee deep water on main road,2026-01-10T15:10:00
W168,High,Water entering basement,2026-01-10T14:20:00
W156,High,Sewer backflow in house,2026-01-10T15:05:00
W030,Low,Water logging on main road,2026-01-10T14:55:00
W057,Low,Traffic stuck due to logging,2026-01-10T13:35:00
W153,Medium,Drain overflow,2026-01-10T14:45:00
W215,High,Open drain overflowing,2026-01-10T15:15:00
W035,Medium,Road completely blocked,2026-01-10T14:00:00
W230,Medium,Water entering basement,2026-01-10T13:50:00
W023,Low,Traffic stuck due to logging,2026-01-10T14:10:00
W127,Low,Drain overflow,2026-01-10T15:30:00
W172,High,Sewer backflow in house,2026-01-10T14:25:00
W203,High,Knee deep water on main road,2026-01-10T13:40:00
W228,High,Water entering basement,2026-01-10T15:00:00
W072,Medium,Traffic stuck due to logging,2026-01-10T14:50:00
W250,Medium,Open drain overflowing,2026-01-10T13:55:00
W184,High,Water logging on main road,2026-01-10T14:35:00
W014,High,Road completely blocked,2026-01-10T15:20:00
W037,Low,Drain overflow,2026-01-10T14:05:00
W142,Low,Sewer backflow in house,2026-01-10T14:40:00
W191,High,Water entering basement,2026-01-10T15:25:00
W241,Medium,Knee deep water on main road,2026-01-10T13:30:00
W077,High,Open drain overflowing,2026-01-10T14:15:00
W251,High,Traffic stuck due to logging,2026-01-10T15:10:00
W007,Medium,Water logging on main road,2026-01-10T14:55:00
W054,Medium,Drain overflow,2026-01-10T13:45:00
W219,High,Road completely blocked,2026-01-10T14:20:00
W175,High,Sewer backflow in house,2026-01-10T15:05:00
W222,High,Water entering basement,2026-01-10T14:50:00
W011,Medium,Knee deep water on main road,2026-01-10T13:35:00
W239,Low,Open drain overflowing,2026-01-10T14:10:00
W079,High,Traffic stuck due to logging,2026-01-10T15:30:00
W100,Low,Water logging on main road,2026-01-10T14:00:00
W155,High,Drain overflow,2026-01-10T14:35:00
W220,High,Road completely blocked,2026-01-10T15:20:00
W003,Medium,Sewer backflow in house,2026-01-10T13:50:00
W158,High,Water entering basement,2026-01-10T14:25:00
W208,Medium,Knee deep water on main road,2026-01-10T15:15:00
W044,Low,Open drain overflowing,2026-01-10T13:40:00
W179,Medium,situation issues!!,2026-01-12T08:07:11.999Z,https://i.ibb.co/JwGxS23b/images.jpg
