ward_id,drainage_capacity
W001,55
W002,48
W003,52
W004,60
W005,58
W006,35
W007,42
W008,38
W009,45
W010,40
W011,0
W012,30
W013,28
W014,32
W015,22
W016,35
W017,29
W018,33
W019,26
W020,31
W021,65
W022,62
W023,68
W024,70
W025,64
W026,66
W027,69
W028,63
W029,67
W030,72
W031,61
W032,65
W033,68
W034,70
W035,64
W036,66
W037,69
W038,63
W039,67
W040,72
W041,61
W042,65
W043,68
W044,70
W045,64
W046,66
W047,69
W048,63
W049,67
W050,72
W051,61
W052,65
W053,68
W054,70
W055,64
W056,66
W057,69
W058,63
W059,67
W060,72
W061,61
W062,65
W063,68
W064,70
W065,64
W066,66
W067,69
W068,63
W069,67
W070,72
W071,25
W072,22
W073,28
W074,20
W075,24
W076,30
W077,26
W078,32
W079,29
W080,35
W081,21
W082,27
W083,38
W084,42
W085,35
W086,40
W087,36
W088,39
W089,45
W090,32
W091,48
W092,50
W093,34
W094,45
W095,52
W096,55
W097,48
W098,50
W099,42
W100,47
W101,58
W102,53
W103,49
W104,56
W105,51
W106,54
W107,59
W108,46
W109,57
W110,44
W111,50
W112,43
W113,48
W114,41
W115,55
W116,85
W117,82
W118,88
W119,90
W120,86
W121,84
W122,89
W123,87
W124,83
W125,81
W126,92
W127,55
W128,58
W129,52
W130,60
W131,65
W132,56
W133,59
W134,54
W135,57
W136,53
W137,61
W138,50
W139,62
W140,58
W141,75
W142,68
W143,85
W144,72
W145,80
W146,78
W147,30
W148,70
W149,76
W150,82
W151,74
W152,88
W153,90
W154,73
W155,69
W156,22
W157,28
W158,25
W159,30
W160,26
W161,75
W162,70
W163,85
W164,68
W165,82
W166,76
W167,72
W168,0
W169,35
W170,38
W171,42
W172,40
W173,78
W174,80
W175,85
W176,32
W177,36
W178,74
W179,65
W180,72
W181,68
W182,79
W183,76
W184,35
W185,30
W186,38
W187,70
W188,75
W189,45
W190,42
W191,68
W192,48
W193,46
W194,52
W195,50
W196,55
W197,58
W198,62
W199,35
W200,38
W201,65
W202,60
W203,32
W204,45
W205,48
W206,40
W207,42
W208,44
W209,46
W210,36
W211,50
W212,55
W213,58
W214,52
W215,25
W216,30
W217,28
W218,32
W219,26
W220,35
W221,22
W222,29
W223,33
W224,24
W225,27
W226,31
W227,23
W228,34
W229,21
W230,36
W231,39
W232,25
W233,30
W234,28
W235,32
W236,20
W237,35
W238,22
W239,29
W240,33
W241,26
W242,31
W243,24
W244,27
W245,34
W246,21
W247,36
W248,39
W249,25
W250,30
